time_us,x,y,z
37971,-9.097966
2979676707,3.943250,-0.842759,-9.083601
2979677858,3.861847,-0.775721,-8.932767
2979679018,3.936068,-0.785298,-9.085996
2979680237,3.914520,-0.828394,-9.129091
2979681459,3.857059,-0.773327,-9.176975
2979682681,3.840300,-0.746991,-9.188946
2979683923,3.813963,-0.780510,-9.004593
2979685108,3.780444,-0.797269,-9.016563
2979686293,3.866636,-0.799663,-8.990228
2979687480,3.895366,-0.866701,-8.975863
2979688666,3.866636,-0.866701,-9.033323
2979689824,3.883395,-0.854730,-9.093178
2979691006,3.933673,-0.797269,-9.030929
2979692207,3.907337,-0.708684,-8.975863
2979693392,3.854665,-0.687136,-8.995016
2979694579,3.864242,-0.756568,-9.047688
2979695756,3.660734,-0.691924,-9.014170
2979696937,3.737349,-0.768539,-8.978256
2979698121,3.885789,-0.809240,-9.081207
2979699318,3.861847,-0.847547,-9.200917
2979700502,3.890578,-0.866701,-9.208099
2979701696,3.960010,-0.833182,-9.200917
2979702872,3.866636,-0.770933,-8.880095
2979704058,3.792415,-0.735020,-8.841787
2979705243,3.849876,-0.785298,-8.939949
2979706431,3.952827,-0.751779,-9.014170
2979707613,3.861847,-0.727837,-9.071630
2979708806,3.864242,-0.792481,-9.253590
2979709990,3.857059,-0.885855,-9.174581
2979711189,3.806781,-0.873884,-9.165004
2979712341,3.890578,-0.744597,-9.303867
2979713537,3.895366,-0.754174,-9.042900
2979714728,3.849876,-0.785298,-8.757990
2979715907,3.833117,-0.873884,-9.026140
2979717090,3.885789,-0.835576,-9.181764
2979718273,3.859453,-0.857124,-9.234436
2979719454,3.849876,-0.785298,-9.313444
2979724813,3.821146,-0.782904,-8.947132
2979726002,3.907337,-0.828394,-9.090784
2979727199,3.909731,-0.861913,-9.217676
2979728389,3.878607,-0.871489,-9.227253
2979729572,3.878607,-0.890643,-9.227253
2979730753,3.809175,-0.902614,-9.093178
2979731929,3.931279,-0.754174,-9.045294
2979733115,3.952827,-0.701501,-8.973468
2979734260,3.902549,-0.785298,-9.016563
2979735456,3.864242,-0.797269,-9.102755
2979736646,3.857059,-0.873884,-9.100361
2979737829,3.845088,-0.837971,-9.179369
2979739027,3.878607,-0.852336,-9.155427
2979740210,3.864242,-0.818817,-9.184157
2979741401,3.897760,-0.758962,-9.157822
2979742587,3.897760,-0.699107,-9.057265
2979743774,3.890578,-0.727837,-9.059659
2979744952,3.842694,-0.837971,-8.985439
2979746148,3.799598,-0.826000,-8.995016
2979747335,3.933673,-0.861913,-9.153033
2979748521,3.971981,-0.785298,-9.289502
2979749698,3.909731,-0.735020,-9.188946
2979750889,3.902549,-0.792481,-9.150639
2979752070,3.960010,-0.799663,-9.090784
2979753255,3.902549,-0.780510,-9.157822
2979754439,3.907337,-0.727837,-9.148245
2979755626,3.938462,-0.770933,-9.033323
2979756807,3.945644,-0.869095,-9.047688
2979757995,3.852271,-0.852336,-9.188946
2979759190,3.964798,-0.854730,-9.208099
2979760377,4.027047,-0.871489,-9.236830
2979761558,3.998317,-0.866701,-9.150639
2979762744,3.914520,-0.861913,-9.018958
2979763931,3.878607,-0.847547,-8.968679
2979765117,3.806781,-0.837971,-9.042900
2979766261,3.837905,-0.811634,-9.136273
2979767460,3.950433,-0.826000,-9.162610
2979768648,3.900155,-0.842759,-9.188946
2979769831,3.849876,-0.770933,-9.179369
2979771029,3.938462,-0.787692,-9.143456
2979772212,3.940856,-0.845153,-9.047688
2979773402,3.907337,-0.842759,-9.047688
2979774588,3.952827,-0.821211,-9.030929
2979775775,3.892972,-0.857124,-8.961497
2979776954,3.828329,-0.876278,-9.153033
2979778152,3.811569,-0.833182,-9.205706
2979779344,3.842694,-0.821211,-9.145850
2979780535,3.900155,-0.770933,-9.054871
2979781715,3.933673,-0.742203,-9.090784
2979782901,3.797204,-0.837971,-8.959103
2979784079,3.849876,-0.835576,-9.028535
2979785267,3.878607,-0.869095,-9.083601
2979786452,3.825934,-0.864307,-9.066842
2979787643,3.758897,-0.833182,-9.050082
2979788825,3.859453,-0.804452,-9.126697
2979790023,3.890578,-0.885855,-8.975863
2979791210,3.847482,-0.845153,-9.064447
2979792400,3.921702,-0.835576,-9.117120
2979793586,3.936068,-0.861913,-8.990228
2979794773,3.809175,-0.859518,-9.002198
2979795950,3.809175,-0.778116,-8.949526
2979797145,3.840300,-0.842759,-9.047688
2979798332,3.866636,-0.866701,-9.179369
2979799519,3.912126,-0.852336,-9.229648
2979800697,3.957615,-0.845153,-9.050082
2979801887,3.986346,-0.919373,-8.999804
2979803067,3.900155,-0.852336,-9.021352
2979804256,3.919308,-0.792481,-8.954314
2979805441,3.895366,-0.787692,-9.052477
2979806632,3.857059,-0.799663,-8.963891
2979807816,3.813963,-0.737414,-8.985439
2979809005,3.991134,-0.818817,-9.165004
2979810203,3.943250,-0.864307,-9.224859
2979811394,3.943250,-0.919373,-9.184157
2979812540,3.926491,-0.895431,-9.179369
2979813728,3.921702,-0.864307,-8.942344
2979814916,3.912126,-0.766145,-9.004593
2979816094,3.957615,-0.778116,-9.069236
2979817281,3.948039,-0.802058,-9.057265
2979818462,3.778050,-0.804452,-9.095572
2979819656,3.806781,-0.900220,-9.179369
2979820837,3.900155,-0.919373,-9.136273
2979822032,3.909731,-0.804452,-9.169792
2979823214,3.842694,-0.749385,-9.090784
2979824406,3.845088,-0.780510,-9.004593
2979825589,3.909731,-0.852336,-8.975863
2979826774,3.828329,-0.818817,-9.004593
2979827952,3.828329,-0.885855,-9.255983
2979829148,3.864242,-0.821211,-9.167398
2979830337,3.818752,-0.732626,-8.935161
2979831525,3.861847,-0.746991,-9.011775
2979832714,3.897760,-0.852336,-9.215282
2979833895,3.904943,-0.878672,-9.045294
2979835073,3.840300,-0.826000,-9.174581
2979836263,3.890578,-0.835576,-9.114726
2979837450,3.895366,-0.849942,-9.198523
2979838641,3.799598,-0.809240,-9.217676
2979839825,3.804387,-0.792481,-9.126697
2979841023,3.919308,-0.773327,-8.916007
2979842209,3.878607,-0.840365,-8.987833
2979843399,3.823540,-0.883460,-9.179369
2979844584,3.883395,-0.888249,-9.210494
2979845772,3.936068,-0.845153,-9.203311
2979846950,3.904943,-0.790087,-9.186552
2979848144,3.909731,-0.799663,-9.085996
2979849332,3.933673,-0.811634,-9.093178
2979850519,3.818752,-0.746991,-9.059659
2979851697,3.718195,-0.732626,-9.126697
2979852889,3.797204,-0.778116,-9.215282
2979854073,3.861847,-0.888249,-9.303867
2979855262,3.933673,-0.895431,-9.270349
2979856448,3.955221,-0.806846,-9.148245
2979857638,3.964798,-0.770933,-9.006987
2979858820,3.952827,-0.787692,-8.999804
2979860009,3.888184,-0.770933,-8.978256
2979861205,3.900155,-0.730232,-9.100361
2979862393,3.873818,-0.766145,-9.157822
2979863576,3.878607,-0.703895,-9.176975
2979864757,3.849876,-0.754174,-9.205706
2979865934,3.904943,-0.909797,-9.311050
2979867118,3.928885,-0.802058,-9.155427
2979868312,3.957615,-0.732626,-8.975863
