time_us,x,y,z
2875944,0.895431,-0.186748,-9.847352
2877159,0.952892,-0.203507,-9.813833
2878343,0.943315,-0.201113,-9.780313
2879530,0.873884,-0.227449,-9.878476
2880711,0.952892,-0.232238,-9.821015
2881897,0.972046,-0.225055,-9.799467
2883073,0.957681,-0.237026,-9.923966
2884257,0.885855,-0.239420,-9.847352
2885436,0.897826,-0.260968,-9.856929
2886624,0.921768,-0.210690,-9.768343
2887800,0.967257,-0.208296,-9.813833
2888986,0.967257,-0.201113,-9.777920
2890175,0.936133,-0.225055,-9.758766
2891366,0.885855,-0.220267,-9.761160
2892545,0.914585,-0.184354,-9.844957
2893730,0.914585,-0.177171,-9.861717
2894915,0.900220,-0.217872,-9.818622
2896098,0.962469,-0.220267,-9.837775
2897281,0.907402,-0.239420,-9.804255
2898464,0.924162,-0.174777,-9.844957
2899648,0.936133,-0.181959,-9.828198
2900838,0.979228,-0.184354,-9.780313
2902020,0.916979,-0.184354,-9.797073
2903207,0.866701,-0.196325,-9.801862
2904392,0.893037,-0.217872,-9.792285
2905580,0.952892,-0.191536,-9.821015
2906754,0.972046,-0.205901,-9.904813
2907938,0.909797,-0.153229,-9.847352
2909119,0.924162,-0.146046,-9.818622
2910307,0.919373,-0.181959,-9.816227
2911486,0.907402,-0.229843,-9.866506
2912672,0.919373,-0.222661,-9.892841
2913854,0.948104,-0.227449,-9.844957
2915041,0.972046,-0.229843,-9.763555
2916225,0.948104,-0.256180,-9.868899
2917409,0.960075,-0.220267,-9.859323
2918586,0.916979,-0.222661,-9.787497
2919772,0.924162,-0.232238,-9.785102
2920948,0.936133,-0.260968,-9.804255
2922137,0.955287,-0.287304,-9.859323
2923323,0.900220,-0.229843,-9.959879
2924506,0.950498,-0.196325,-9.926360
2925681,0.885855,-0.251391,-9.935937
2926871,0.900220,-0.181959,-9.897630
2928049,0.902614,-0.196325,-9.878476
2929236,0.936133,-0.167594,-9.830592
2930416,0.902614,-0.177171,-9.885659
2931600,0.866701,-0.217872,-9.856929
2932787,0.878672,-0.284910,-9.849746
2933978,0.881066,-0.205901,-9.809045
2935167,0.926556,-0.193930,-9.761160
2936358,0.962469,-0.239420,-9.792285
2937534,0.957681,-0.165200,-9.854534
2938718,0.938527,-0.251391,-9.880871
2939894,0.881066,-0.313640,-9.835381
2941074,0.866701,-0.263362,-9.830592
2942254,0.890643,-0.251391,-9.880871
2943443,0.871489,-0.234632,-9.907207
2944626,0.907402,-0.304064,-9.904813
2945809,0.909797,-0.248997,-9.868899
2946990,0.933739,-0.167594,-9.794679
2948191,0.933739,-0.210690,-9.813833
2949374,0.912191,-0.229843,-9.825804
2950559,0.976834,-0.248997,-9.780313
2951733,0.907402,-0.203507,-9.794679
2952918,0.938527,-0.162806,-9.768343
2954097,0.957681,-0.237026,-9.801862
2955285,0.960075,-0.246603,-9.806650
2956462,0.940921,-0.246603,-9.801862
2957643,1.000776,-0.239420,-9.799467
2958823,0.928950,-0.220267,-9.785102
2960011,0.960075,-0.203507,-9.801862
2961199,0.933739,-0.234632,-9.823410
2962387,0.878672,-0.239420,-9.809045
2963566,0.926556,-0.217872,-9.837775
2964746,0.895431,-0.251391,-9.866506
2965925,0.950498,-0.222661,-9.840169
2967111,0.945710,-0.222661,-9.744401
2968288,0.921768,-0.234632,-9.720459
2969476,0.948104,-0.241814,-9.770737
2970656,0.907402,-0.229843,-9.823410
2971839,0.914585,-0.196325,-9.847352
2973023,0.914585,-0.184354,-9.787497
2974208,0.883460,-0.232238,-9.801862
2975386,0.938527,-0.239420,-9.859323
