time_us,x,y,z
1811058831,0.306458,-0.529119,-9.888053
1811060064,0.363919,-0.565032,-9.890448
1811061306,0.311246,-0.502782,-9.907207
1811062498,0.294487,-0.497994,-9.933543
1811063710,0.280122,-0.452504,-9.916783
1811064929,0.344765,-0.478840,-9.840169
1811066143,0.335188,-0.471658,-9.828198
1811067350,0.344765,-0.529119,-9.935937
1811068554,0.383072,-0.529119,-9.921572
1811069776,0.332794,-0.538695,-9.878476
1811070997,0.330400,-0.512359,-9.895236
1811072211,0.332794,-0.490811,-9.969456
1811073417,0.248997,-0.478840,-9.979033
1811074628,0.339977,-0.471658,-9.955091
1811075861,0.397437,-0.531513,-9.883265
1811077077,0.301669,-0.526724,-9.947908
1811078294,0.318429,-0.553061,-9.976639
1811079491,0.347159,-0.514753,-9.943120
1811080703,0.301669,-0.505177,-9.911995
1811081934,0.330400,-0.514753,-9.892841
1811083159,0.282516,-0.526724,-9.854534
1811084361,0.299275,-0.545878,-9.897630
1811085570,0.344765,-0.521936,-9.964667
1811086788,0.335188,-0.529119,-10.031705
1811088020,0.296881,-0.497994,-9.868899
1811089242,0.301669,-0.502782,-9.878476
1811090449,0.313640,-0.519542,-9.888053
1811091665,0.320823,-0.581791,-9.876082
1811092897,0.316035,-0.562637,-9.931149
1811094123,0.339977,-0.486023,-9.797073
1811095334,0.270545,-0.464475,-9.876082
1811096545,0.354342,-0.502782,-9.888053
1811097758,0.332794,-0.505177,-9.835381
1811098974,0.359130,-0.474052,-9.854534
1811100193,0.313640,-0.476446,-9.816227
1811101404,0.337582,-0.555455,-9.823410
1811102610,0.385466,-0.493206,-9.809045
1811103831,0.359130,-0.493206,-9.818622
1811105052,0.328006,-0.500388,-9.859323
1811106263,0.299275,-0.481235,-9.914390
1811107475,0.347159,-0.488417,-9.940725
1811108687,0.397437,-0.505177,-9.837775
1811109916,0.356736,-0.488417,-9.921572
1811111133,0.368707,-0.541090,-9.902418
1811112343,0.339977,-0.545878,-9.904813
1811113547,0.380678,-0.488417,-9.818622
1811114769,0.366313,-0.514753,-9.792285
1811115985,0.354342,-0.469264,-9.816227
1811117212,0.368707,-0.490811,-9.890448
1811118412,0.332794,-0.476446,-9.801862
1811119628,0.366313,-0.457293,-9.828198
1811120857,0.344765,-0.541090,-9.811439
1811122078,0.330400,-0.521936,-9.768343
1811123288,0.380678,-0.502782,-9.844957
1811124501,0.383072,-0.471658,-9.859323
1811125713,0.311246,-0.438139,-9.787497
1811126941,0.351948,-0.536301,-9.828198
1811128162,0.361524,-0.560243,-9.828198
1811129368,0.308852,-0.562637,-9.871294
1811130575,0.328006,-0.526724,-9.840169
1811131800,0.337582,-0.505177,-9.876082
1811133031,0.363919,-0.541090,-9.789890
1811134255,0.311246,-0.560243,-9.785102
1811135450,0.272939,-0.505177,-9.730036
1811136670,0.342371,-0.524330,-9.830592
1811137897,0.351948,-0.507571,-9.895236
