time_us,x,y,z
1072100617,1.156399,-0.023942,-9.777920
1072101840,1.165976,0.019154,-9.775525
1072103044,1.177947,0.004788,-9.823410
1072104252,1.115698,0.050278,-9.837775
1072105459,1.106121,0.026336,-9.837775
1072106679,1.096544,-0.026336,-9.775525
1072107886,1.086968,-0.007183,-9.797073
1072109096,1.137246,0.002394,-9.823410
1072110300,1.156399,0.043096,-9.756371
1072111514,1.065420,0.031125,-9.811439
1072112725,1.022324,-0.011971,-9.888053
1072113936,1.130063,-0.019154,-9.818622
1072115153,1.134852,-0.016759,-9.777920
1072116374,1.173159,-0.026336,-9.792285
1072117591,1.173159,0.076614,-9.828198
1072118803,1.089362,0.047884,-9.830592
1072120003,1.077391,0.028730,-9.816227
1072121210,1.106121,0.050278,-9.763555
1072122416,1.074997,0.014365,-9.789890
1072123635,1.132457,-0.031125,-9.742006
1072124837,1.122881,-0.031125,-9.854534
1072126049,1.127669,0.023942,-9.847352
1072127259,1.134852,0.019154,-9.847352
1072128471,1.101333,0.002394,-9.801862
1072129675,1.082179,-0.011971,-9.799467
1072130886,1.130063,0.011971,-9.744401
1072132089,1.108515,0.000000,-9.713276
1072133306,1.098939,0.043096,-9.823410
1072134514,1.134852,0.045490,-9.842564
1072135734,1.108515,0.035913,-9.895236
1072136933,1.235408,0.000000,-9.909601
1072138134,1.168370,-0.038307,-9.880871
1072139350,1.161188,-0.011971,-9.921572
1072140570,1.132457,0.033519,-9.813833
1072141778,1.110910,0.067038,-9.813833
1072142976,1.139640,0.074220,-9.684546
1072144184,1.137246,0.014365,-9.679757
1072145397,1.170765,-0.043096,-9.770737
1072146612,1.084573,-0.050278,-9.847352
1072147829,1.108515,-0.007183,-9.859323
1072149038,1.161188,-0.026336,-9.909601
1072150257,1.163582,0.000000,-9.821015
1072151463,1.113304,0.033519,-9.823410
1072152683,1.106121,0.023942,-9.739613
1072153883,1.137246,-0.031125,-9.821015
1072155094,1.125275,-0.052672,-9.856929
1072156317,1.103727,0.023942,-9.868899
1072157536,1.130063,0.081403,-9.818622
1072158744,1.077391,0.031125,-9.792285
1072159944,1.110910,0.040701,-9.797073
1072161153,1.132457,0.047884,-9.801862
1072162373,1.091756,-0.009577,-9.775525
1072163589,1.127669,0.016759,-9.811439
1072164801,1.118092,-0.026336,-9.775525
1072166008,1.125275,0.009577,-9.768343
1072167213,1.106121,0.045490,-9.763555
1072168427,1.070208,0.074220,-9.818622
1072169629,1.096544,0.004788,-9.821015
1072170829,1.077391,-0.004788,-9.876082
1072172044,1.110910,-0.004788,-9.801862
1072173258,1.110910,-0.016759,-9.840169
1072174472,1.072602,-0.007183,-9.852140
1072175686,1.151611,0.004788,-9.794679
1072176888,1.125275,0.038307,-9.777920
1072178090,1.115698,0.047884,-9.749189
1072179299,1.134852,0.026336,-9.706094
1072180505,1.149217,0.007183,-9.780313
1072181715,1.094150,-0.016759,-9.801862
1072182930,1.115698,-0.052672,-9.787497
1072184153,1.096544,0.016759,-9.777920
1072185369,1.132457,0.062249,-9.794679
1072186594,1.089362,-0.028730,-9.907207
1072187805,1.137246,0.016759,-9.816227
1072189017,1.144428,0.047884,-9.809045
1072190215,1.086968,-0.016759,-9.849746
1072191436,1.120486,-0.026336,-9.801862
1072192651,1.142034,-0.019154,-9.756371
1072193859,1.122881,-0.014365,-9.775525
1072195073,1.134852,-0.038307,-9.794679
1072196292,1.146823,-0.014365,-9.878476
1072197475,1.146823,-0.004788,-9.859323
1072198667,1.151611,-0.009577,-9.828198
1072199849,1.139640,-0.062249,-9.758766
1072201041,1.125275,-0.023942,-9.727641
1072202223,1.106121,0.000000,-9.823410
1072203402,1.137246,0.007183,-9.777920
1072204577,1.132457,-0.014365,-9.809045
1072205773,1.118092,0.004788,-9.842564
1072206948,1.139640,0.038307,-9.859323
1072208122,1.170765,0.014365,-9.823410
1072209307,1.120486,0.002394,-9.775525
1072210487,1.125275,-0.002394,-9.753978
1072211669,1.106121,0.014365,-9.854534
1072212849,1.130063,-0.016759,-9.773131
