time_us,x,y,z
5060151,0.943315,-0.246603,-9.770737
5061372,0.821211,-0.237026,-9.818622
5062542,0.871489,-0.196325,-9.849746
5063723,0.897826,-0.210690,-9.773131
5064913,0.866701,-0.239420,-9.799467
5066104,0.897826,-0.225055,-9.842564
5067288,0.873884,-0.193930,-9.864111
5068467,0.914585,-0.208296,-9.842564
5069641,0.926556,-0.193930,-9.856929
5070825,0.916979,-0.167594,-9.823410
5072022,0.907402,-0.234632,-9.818622
5073211,0.866701,-0.263362,-9.801862
5074394,0.866701,-0.217872,-9.821015
5075573,0.885855,-0.232238,-9.852140
5076743,0.849942,-0.210690,-9.844957
5077934,0.876278,-0.229843,-9.837775
5079121,0.871489,-0.184354,-9.801862
5080317,0.888249,-0.167594,-9.765948
5081489,0.902614,-0.167594,-9.804255
5082663,0.857124,-0.186748,-9.734824
5083845,0.864307,-0.217872,-9.662998
5085042,0.945710,-0.196325,-9.746795
5086219,0.960075,-0.196325,-9.801862
5087402,0.931344,-0.237026,-9.715671
5088572,0.837971,-0.177171,-9.732430
5089747,0.857124,-0.237026,-9.789890
5090933,0.909797,-0.229843,-9.734824
5092123,0.859518,-0.196325,-9.653421
5093315,0.871489,-0.234632,-9.703699
5094494,0.926556,-0.208296,-9.792285
5095669,0.881066,-0.222661,-9.710882
5096858,0.919373,-0.210690,-9.718064
5098046,0.888249,-0.225055,-9.734824
5099231,0.936133,-0.210690,-9.665392
5100409,0.933739,-0.220267,-9.749189
5101592,0.869095,-0.205901,-9.818622
5102770,0.933739,-0.253785,-9.770737
5103966,0.974440,-0.246603,-9.785102
5105162,0.909797,-0.203507,-9.777920
5106355,0.883460,-0.196325,-9.730036
5107526,0.909797,-0.225055,-9.761160
5108703,0.933739,-0.229843,-9.722853
5109889,0.907402,-0.220267,-9.744401
5111078,0.921768,-0.172383,-9.703699
5112256,0.912191,-0.179565,-9.682152
5113436,0.878672,-0.143652,-9.742006
5114610,0.974440,-0.210690,-9.856929
5115790,0.979228,-0.225055,-9.775525
5116976,0.897826,-0.258574,-9.782708
5118178,0.900220,-0.280122,-9.780313
5119360,0.885855,-0.229843,-9.780313
5120540,0.907402,-0.248997,-9.825804
5121713,0.974440,-0.258574,-9.797073
5122907,0.981623,-0.237026,-9.775525
5124097,0.919373,-0.222661,-9.756371
5125279,0.881066,-0.272939,-9.777920
5126454,0.900220,-0.272939,-9.816227
5127636,0.943315,-0.272939,-9.818622
5128816,0.945710,-0.280122,-9.765948
5130010,0.928950,-0.306458,-9.828198
5131205,0.873884,-0.284910,-9.897630
5132389,0.885855,-0.222661,-9.823410
5133564,0.885855,-0.256180,-9.775525
5134739,0.888249,-0.280122,-9.830592
5135925,0.885855,-0.246603,-9.818622
5137120,0.924162,-0.239420,-9.797073
5138309,0.907402,-0.316035,-9.830592
5139486,0.907402,-0.292093,-9.895236
5140660,0.928950,-0.260968,-9.876082
5141843,0.960075,-0.227449,-9.888053
5143035,0.936133,-0.244209,-9.897630
5144219,0.952892,-0.277727,-9.888053
5145407,0.897826,-0.251391,-9.859323
5146591,0.950498,-0.205901,-9.955091
5147759,0.933739,-0.213084,-9.935937
5148953,0.938527,-0.217872,-9.883265
5150150,0.897826,-0.265756,-9.868899
5151338,0.936133,-0.201113,-9.916783
