time_us,x,y,z
0090108,0.318429,-0.703895,-9.610326
1660091253,0.287304,-0.785298,-9.971850
1660092398,0.404620,-0.849942,-10.067618
1660093542,0.407014,-0.845153,-9.809045
1660094686,0.404620,-0.897826,-9.861717
1660095837,0.529119,-0.900220,-10.007763
1660096986,0.306458,-0.679953,-9.600749
1660098207,0.232238,-0.694318,-9.581595
1660099398,0.397437,-0.816423,-9.837775
1660100584,0.505177,-0.720655,-9.859323
1660101771,0.414197,-0.711078,-9.811439
1660102951,0.416591,-0.758962,-9.955091
1660104136,0.342371,-0.797269,-9.847352
1660105325,0.222661,-0.665588,-9.715671
1660106513,0.366313,-0.744597,-9.806650
1660107703,0.462081,-0.794875,-9.883265
1660108889,0.387861,-0.794875,-9.794679
1660110050,0.404620,-0.778116,-9.940725
1660111246,0.373495,-0.699107,-9.749189
1660112428,0.323217,-0.675165,-9.720459
1660113615,0.416591,-0.799663,-9.952697
1660114796,0.486023,-0.778116,-9.976639
1660115982,0.521936,-0.665588,-9.684546
1660117177,0.414197,-0.746991,-9.684546
1660118371,0.339977,-0.811634,-9.742006
1660119551,0.318429,-0.900220,-9.892841
1660120730,0.421380,-0.828394,-10.029311
1660121913,0.368707,-0.715866,-10.017340
1660123096,0.514753,-0.766145,-9.947908
1660124278,0.581791,-0.799663,-9.773131
1660125465,0.359130,-0.773327,-9.698911
1660126653,0.311246,-0.780510,-9.835381
1660127843,0.366313,-0.809240,-9.809045
1660129036,0.268151,-0.746991,-9.988609
1660130220,0.373495,-0.725443,-10.089166
1660131408,0.471658,-0.703895,-9.986216
1660132597,0.474052,-0.682347,-9.835381
1660133779,0.423774,-0.739808,-9.821015
1660134967,0.423774,-0.802058,-9.868899
1660136159,0.476446,-0.799663,-9.756371
1660137318,0.380678,-0.656011,-9.823410
1660138510,0.253785,-0.696713,-9.777920
1660139705,0.363919,-0.890643,-9.888053
1660140886,0.409408,-0.873884,-9.979033
1660142071,0.383072,-0.696713,-10.067618
1660143258,0.447716,-0.742203,-10.070012
1660144447,0.464475,-0.768539,-9.897630
1660145632,0.435745,-0.689530,-9.749189
1660146821,0.411803,-0.727837,-9.859323
1660148004,0.486023,-0.802058,-9.904813
1660149204,0.404620,-0.739808,-9.734824
1660150389,0.363919,-0.792481,-9.979033
1660151575,0.457293,-0.782904,-9.902418
1660152751,0.407014,-0.699107,-9.770737
1660153931,0.342371,-0.658405,-9.976639
1660155112,0.354342,-0.797269,-9.801862
1660156309,0.483629,-0.763750,-9.677363
1660157494,0.483629,-0.782904,-9.837775
1660158684,0.493206,-0.816423,-9.897630
1660159862,0.486023,-0.773327,-9.885659
1660161045,0.445322,-0.718261,-9.926360
1660162227,0.392649,-0.701501,-9.904813
1660163413,0.363919,-0.756568,-9.761160
1660164600,0.395043,-0.787692,-9.732430
1660165786,0.445322,-0.837971,-9.804255
1660166973,0.373495,-0.928950,-9.844957
1660168172,0.476446,-0.636858,-9.909601
1660169358,0.469264,-0.557849,-9.904813
1660170547,0.438139,-0.682347,-9.866506
1660171693,0.514753,-0.797269,-9.799467
1660172890,0.407014,-0.852336,-9.751583
1660174070,0.316035,-0.852336,-9.804255
1660175257,0.440533,-0.732626,-9.849746
1660176447,0.277727,-0.711078,-10.029311
1660177633,0.330400,-0.766145,-10.220847
1660178819,0.428562,-0.742203,-10.117896
1660180004,0.517148,-0.691924,-9.804255
1660181206,0.399832,-0.746991,-9.909601
1660182391,0.385466,-0.787692,-9.576807
1660183577,0.385466,-0.766145,-9.686940
1660184754,0.366313,-0.766145,-9.955091
1660185935,0.380678,-0.792481,-9.943120
1660187118,0.486023,-0.723049,-10.017340
1660188314,0.509965,-0.689530,-9.940725
1660189500,0.462081,-0.725443,-9.813833
1660190690,0.507571,-0.768539,-9.809045
1660191867,0.474052,-0.696713,-9.787497
1660193050,0.320823,-0.706290,-9.682152
1660194231,0.442927,-0.830788,-9.967062
1660195417,0.421380,-0.751779,-9.895236
1660196598,0.387861,-0.713472,-9.947908
1660197785,0.438139,-0.708684,-10.079589
1660198972,0.447716,-0.670376,-9.950302
1660200168,0.445322,-0.785298,-10.034100
1660201356,0.531513,-0.775721,-10.034100
1660202545,0.483629,-0.691924,-9.560047
1660203721,0.342371,-0.725443,-9.595961
1660204910,0.248997,-0.768539,-9.708488
1660206088,0.265756,-0.749385,-9.818622
1660207240,0.505177,-0.718261,-9.933543
1660208437,0.588974,-0.742203,-10.012551
1660209621,0.512359,-0.778116,-9.947908
1660210804,0.356736,-0.770933,-9.837775
1660211993,0.335188,-0.809240,-9.835381
1660213186,0.318429,-0.792481,-9.617508
1660214374,0.375890,-0.723049,-9.569624
1660215551,0.493206,-0.682347,-9.890448
1660216742,0.531513,-0.718261,-10.036493
1660217930,0.483629,-0.744597,-10.115502
1660219114,0.416591,-0.756568,-10.036493
1660220300,0.371101,-0.792481,-9.844957
1660221490,0.375890,-0.782904,-9.555259
1660222675,0.373495,-0.701501,-9.562442
1660223855,0.347159,-0.727837,-9.780313
1660225040,0.399832,-0.797269,-9.868899
1660226227,0.488417,-0.737414,-9.993398
1660227410,0.447716,-0.830788,-9.914390
1660228599,0.423774,-0.802058,-9.864111
1660229781,0.368707,-0.696713,-9.595961
1660230972,0.344765,-0.720655,-9.519346
1660232165,0.459687,-0.840365,-9.775525
1660233363,0.361524,-0.739808,-9.732430
1660234549,0.328006,-0.703895,-9.883265
1660235736,0.359130,-0.770933,-9.962274
1660236919,0.421380,-0.794875,-9.933543
1660238105,0.387861,-0.706290,-9.983821
1660239290,0.450110,-0.804452,-9.809045
1660240474,0.495600,-0.773327,-9.598354
1660241659,0.404620,-0.854730,-9.598354
1660242849,0.294487,-0.873884,-9.732430
1660244032,0.335188,-0.845153,-9.909601
1660245225,0.368707,-0.565032,-9.825804
1660246398,0.349553,-0.651223,-9.868899
1660247589,0.445322,-0.768539,-9.945514
1660248772,0.526724,-0.797269,-9.787497
1660249955,0.483629,-0.699107,-9.629479
1660251145,0.421380,-0.756568,-9.672575
1660252335,0.414197,-0.864307,-9.782708
1660253516,0.349553,-0.720655,-9.718064
1660254698,0.284910,-0.615310,-9.926360
1660255883,0.351948,-0.715866,-9.737218
1660257070,0.438139,-0.926556,-9.557653
1660258257,0.418985,-0.921768,-9.926360
1660259447,0.390255,-0.852336,-9.873688
1660260633,0.385466,-0.711078,-9.667787
1660261821,0.368707,-0.653617,-9.610326
1660263003,0.328006,-0.744597,-9.761160
1660264205,0.385466,-0.814029,-9.904813
1660265389,0.328006,-0.699107,-9.706094
1660266574,0.349553,-0.701501,-9.780313
1660267749,0.409408,-0.830788,-9.878476
1660268939,0.287304,-0.847547,-9.914390
1660270122,0.292093,-0.811634,-9.945514
1660271320,0.332794,-0.871489,-9.878476
1660272501,0.330400,-0.806846,-9.507375
1660273687,0.502782,-0.845153,-9.636662
1660274871,0.442927,-0.809240,-9.938332
1660276053,0.335188,-0.737414,-9.876082
1660277235,0.330400,-0.859518,-9.897630
1660278420,0.442927,-0.931344,-9.907207
1660279600,0.375890,-0.871489,-9.698911
1660280787,0.392649,-0.804452,-9.780313
1660281964,0.435745,-0.684742,-9.830592
1660283162,0.344765,-0.744597,-9.756371
1660284354,0.407014,-0.787692,-9.955091
1660285543,0.349553,-0.679953,-9.844957
1660286731,0.270545,-0.744597,-9.765948
1660287914,0.342371,-0.861913,-9.686940
1660289092,0.426168,-0.960075,-9.746795
1660290278,0.407014,-0.837971,-9.902418
1660291459,0.380678,-0.823605,-9.852140
1660292648,0.450110,-0.794875,-9.718064
1660293830,0.486023,-0.792481,-9.674969
1660295027,0.347159,-0.806846,-9.720459
1660296207,0.311246,-0.845153,-9.751583
1660297398,0.287304,-0.723049,-9.682152
1660298579,0.251391,-0.792481,-9.605537
1660299767,0.380678,-0.905008,-9.694122
1660300943,0.462081,-0.931344,-9.979033
1660302130,0.347159,-0.814029,-9.916783
1660303319,0.392649,-0.794875,-9.895236
1660304511,0.445322,-0.790087,-9.667787
1660305696,0.368707,-0.756568,-9.595961
1660306887,0.378284,-0.723049,-9.801862
1660308068,0.380678,-0.840365,-9.811439
1660309259,0.416591,-0.864307,-9.727641
1660310444,0.390255,-0.876278,-9.799467
1660311634,0.397437,-0.794875,-9.859323
1660312818,0.378284,-0.658405,-9.792285
1660314006,0.395043,-0.624887,-9.703699
1660315203,0.335188,-0.770933,-9.746795
1660316394,0.526724,-1.070208,-9.878476
1660317539,0.411803,-0.900220,-9.861717
1660318735,0.181959,-0.663194,-9.607931
1660319923,0.222661,-0.739808,-9.701305
1660321103,0.387861,-0.823605,-10.012551
1660322294,0.383072,-0.739808,-9.794679
1660323475,0.497994,-0.902614,-10.026917
1660324665,0.474052,-0.888249,-9.770737
1660325843,0.272939,-0.780510,-9.323022
1660327033,0.203507,-0.804452,-9.557653
1660328214,0.335188,-0.861913,-10.007763
1660329402,0.265756,-0.684742,-9.653421
1660330585,0.474052,-0.811634,-9.919178
1660331772,0.545878,-0.895431,-10.067618
1660332951,0.466869,-0.900220,-9.816227
1660334144,0.332794,-0.809240,-9.670180
1660335330,0.174777,-0.696713,-9.694122
1660336517,0.361524,-0.833182,-9.701305
1660337707,0.390255,-0.845153,-9.725247
1660338893,0.433351,-0.785298,-9.809045
1660340076,0.469264,-0.725443,-9.897630
1660341261,0.411803,-0.799663,-9.847352
1660342447,0.354342,-0.943315,-9.775525
1660343637,0.435745,-0.919373,-10.007763
1660344820,0.363919,-0.703895,-9.775525
1660346009,0.258574,-0.675165,-9.440337
1660347206,0.373495,-0.821211,-9.509769
1660348396,0.320823,-0.785298,-9.679757
1660349578,0.308852,-0.766145,-9.816227
1660350760,0.301669,-0.852336,-9.995792
1660351943,0.404620,-0.849942,-9.842564
1660353131,0.421380,-0.864307,-9.653421
1660354318,0.421380,-0.857124,-9.662998
1660355510,0.371101,-0.691924,-9.579201
1660356692,0.330400,-0.713472,-9.648633
1660357876,0.339977,-0.782904,-9.734824
1660359054,0.339977,-0.792481,-9.797073
1660360244,0.339977,-0.687136,-9.897630
1660361426,0.260968,-0.706290,-9.722853
1660362612,0.325611,-0.893037,-9.648633
1660363800,0.478840,-0.993594,-9.854534
