time_us,x,y,z
26298484,0.919373,-0.239420,-9.914390
26299704,0.979228,-0.225055,-9.947908
26300926,0.897826,-0.215478,-9.921572
26302129,0.914585,-0.189142,-9.837775
26303339,0.957681,-0.181959,-9.801862
26304560,0.945710,-0.181959,-9.758766
26305780,0.931344,-0.241814,-9.904813
26307009,0.931344,-0.244209,-9.897630
26308212,0.962469,-0.220267,-9.844957
26309413,0.960075,-0.217872,-9.854534
26310640,0.933739,-0.246603,-9.811439
26311867,0.900220,-0.239420,-9.782708
26313086,0.890643,-0.251391,-9.888053
26314289,0.928950,-0.193930,-9.888053
26315498,0.921768,-0.222661,-9.828198
26316726,0.914585,-0.248997,-9.888053
26317955,0.885855,-0.272939,-9.842564
26319162,0.885855,-0.222661,-9.811439
26320366,0.883460,-0.184354,-9.890448
26321591,0.878672,-0.148441,-9.933543
26322812,0.931344,-0.191536,-9.876082
26324032,0.943315,-0.191536,-9.780313
26325231,0.926556,-0.229843,-9.840169
26326435,0.964863,-0.225055,-9.859323
26327666,0.916979,-0.165200,-9.825804
26328894,0.787692,-0.186748,-9.890448
26330104,0.828394,-0.184354,-9.895236
26331299,0.885855,-0.208296,-9.804255
26332513,0.859518,-0.155623,-9.876082
26333735,0.895431,-0.193930,-9.878476
26334954,0.842759,-0.174777,-9.799467
26336161,0.821211,-0.167594,-9.770737
26337364,0.921768,-0.210690,-9.830592
26338583,0.890643,-0.177171,-9.890448
26339819,0.849942,-0.215478,-9.823410
26341045,0.871489,-0.165200,-9.770737
26342248,0.869095,-0.174777,-9.861717
26343452,0.859518,-0.196325,-9.780313
26344672,0.852336,-0.241814,-9.713276
26345901,0.845153,-0.196325,-9.756371
26347111,0.837971,-0.169988,-9.770737
26348310,0.835576,-0.253785,-9.737218
26349518,0.821211,-0.229843,-9.727641
26350747,0.837971,-0.191536,-9.708488
26351963,0.828394,-0.196325,-9.770737
26353152,0.893037,-0.191536,-9.842564
26354356,0.847547,-0.169988,-9.801862
26355577,0.852336,-0.232238,-9.770737
26356809,0.840365,-0.193930,-9.753978
26358026,0.897826,-0.165200,-9.801862
26359234,0.847547,-0.241814,-9.770737
26360439,0.809240,-0.225055,-9.758766
26361652,0.845153,-0.258574,-9.789890
26362874,0.890643,-0.208296,-9.780313
26364094,0.900220,-0.213084,-9.749189
26365291,0.878672,-0.260968,-9.715671
26366495,0.833182,-0.239420,-9.761160
26367721,0.861913,-0.184354,-9.799467
26368946,0.871489,-0.155623,-9.782708
26370147,0.852336,-0.172383,-9.773131
26371346,0.864307,-0.181959,-9.832987
26372566,0.873884,-0.186748,-9.852140
26373797,0.861913,-0.229843,-9.816227
26375011,0.864307,-0.198719,-9.706094
26376213,0.864307,-0.193930,-9.787497
26377415,0.837971,-0.143652,-9.775525
26378643,0.876278,-0.162806,-9.866506
26379870,0.830788,-0.232238,-9.742006
26381089,0.842759,-0.210690,-9.758766
26382275,0.847547,-0.177171,-9.909601
26383484,0.885855,-0.165200,-9.816227
26384705,0.849942,-0.169988,-9.897630
26385925,0.811634,-0.169988,-9.861717
26387130,0.871489,-0.165200,-9.832987
26388323,0.902614,-0.117316,-9.847352
26389539,0.823605,-0.198719,-9.797073
26390760,0.885855,-0.210690,-9.825804
26391970,0.873884,-0.205901,-9.813833
26393184,0.840365,-0.172383,-9.797073
26394383,0.849942,-0.179565,-9.809045
26395618,0.835576,-0.205901,-9.818622
26396832,0.852336,-0.160412,-9.768343
26398053,0.840365,-0.179565,-9.823410
26399251,0.794875,-0.136469,-9.859323
26400460,0.845153,-0.112527,-9.768343
26401677,0.854730,-0.165200,-9.794679
26402910,0.905008,-0.210690,-9.828198
26404108,0.869095,-0.198719,-9.794679
26405306,0.842759,-0.136469,-9.797073
26406516,0.794875,-0.117316,-9.703699
26407742,0.878672,-0.148441,-9.756371
26408954,0.883460,-0.136469,-9.883265
26410164,0.883460,-0.181959,-9.835381
26411363,0.909797,-0.124498,-9.763555
26412588,0.890643,-0.141258,-9.775525
26413809,0.849942,-0.110133,-9.801862
26415033,0.854730,-0.165200,-9.828198
26416223,0.849942,-0.167594,-9.830592
26417422,0.914585,-0.131681,-9.868899
26418643,0.849942,-0.150835,-9.849746
26419871,0.849942,-0.167594,-9.876082
26421088,0.833182,-0.158017,-9.828198
26422297,0.890643,-0.148441,-9.821015
26423507,0.897826,-0.100556,-9.900024
26424735,0.905008,-0.119710,-9.832987
26425948,0.861913,-0.155623,-9.842564
26427154,0.938527,-0.138864,-9.844957
26428353,0.878672,-0.172383,-9.864111
26429579,0.905008,-0.184354,-9.878476
26430804,0.871489,-0.160412,-9.770737
26432028,0.869095,-0.146046,-9.835381
26433212,0.830788,-0.174777,-9.864111
26434415,0.893037,-0.172383,-9.837775
26435635,0.878672,-0.124498,-9.775525
26436869,0.919373,-0.136469,-9.789890
26438086,0.912191,-0.141258,-9.823410
26439295,0.893037,-0.184354,-9.797073
26440500,0.861913,-0.196325,-9.897630
26441732,0.861913,-0.158017,-9.864111
26442956,0.861913,-0.141258,-9.876082
26444167,0.888249,-0.148441,-9.938332
26445366,0.960075,-0.210690,-9.878476
26446589,0.955287,-0.193930,-9.888053
26447810,0.900220,-0.146046,-9.890448
26449032,0.871489,-0.179565,-9.914390
26450226,0.919373,-0.196325,-9.873688
26451430,0.955287,-0.201113,-9.907207
26452660,0.940921,-0.225055,-9.885659
26453890,0.940921,-0.193930,-9.854534
26455092,0.921768,-0.220267,-9.866506
26456296,0.931344,-0.196325,-9.825804
26457507,0.893037,-0.155623,-9.835381
26458738,0.921768,-0.153229,-9.818622
26459950,0.926556,-0.177171,-9.852140
26461144,0.878672,-0.189142,-9.911995
26462344,0.921768,-0.169988,-9.904813
26463561,0.933739,-0.158017,-9.799467
26464781,0.912191,-0.169988,-9.777920
26466016,0.907402,-0.143652,-9.830592
26467212,0.931344,-0.160412,-9.818622
26468417,0.972046,-0.179565,-9.888053
26469634,0.950498,-0.146046,-9.761160
26470874,0.945710,-0.102951,-9.753978
26472090,0.972046,-0.146046,-9.892841
26473288,0.952892,-0.186748,-9.794679
26474499,0.924162,-0.179565,-9.792285
26475732,0.878672,-0.198719,-9.761160
26476954,0.902614,-0.220267,-9.734824
26478155,0.912191,-0.181959,-9.787497
26479354,0.912191,-0.146046,-9.897630
26480576,0.885855,-0.172383,-9.840169
26481807,0.907402,-0.208296,-9.758766
26483031,0.936133,-0.184354,-9.806650
26484224,0.926556,-0.169988,-9.821015
26485427,0.984017,-0.193930,-9.813833
26486658,0.936133,-0.174777,-9.763555
26487890,0.928950,-0.165200,-9.765948
26489094,0.907402,-0.181959,-9.734824
26490297,0.919373,-0.191536,-9.722853
26491498,0.909797,-0.155623,-9.868899
26492724,0.926556,-0.186748,-9.813833
26493950,0.900220,-0.184354,-9.732430
26495153,0.900220,-0.181959,-9.792285
26496351,0.948104,-0.215478,-9.873688
26497576,0.914585,-0.203507,-9.825804
26498806,0.828394,-0.213084,-9.792285
26500031,0.876278,-0.189142,-9.806650
26501214,0.907402,-0.229843,-9.768343
26502422,0.926556,-0.167594,-9.725247
26503648,0.883460,-0.167594,-9.777920
26504879,0.919373,-0.169988,-9.715671
26506091,0.866701,-0.225055,-9.727641
26507283,0.912191,-0.225055,-9.777920
26508488,0.890643,-0.138864,-9.737218
26509713,0.926556,-0.146046,-9.713276
26510932,0.878672,-0.186748,-9.753978
26512138,0.909797,-0.189142,-9.785102
26513328,0.893037,-0.160412,-9.789890
26514547,0.902614,-0.234632,-9.720459
26515761,0.907402,-0.215478,-9.809045
26516978,0.948104,-0.203507,-9.794679
26518186,0.940921,-0.225055,-9.727641
26519384,0.861913,-0.227449,-9.758766
26520611,0.909797,-0.193930,-9.890448
26521837,0.912191,-0.210690,-9.821015
26523046,0.845153,-0.203507,-9.801862
26524249,0.864307,-0.131681,-9.758766
26525453,0.859518,-0.136469,-9.799467
26526666,0.890643,-0.208296,-9.725247
26527898,0.902614,-0.234632,-9.785102
26529103,0.857124,-0.169988,-9.732430
26530302,0.907402,-0.162806,-9.756371
26531511,0.950498,-0.217872,-9.734824
26532738,0.969652,-0.181959,-9.806650
26533957,0.916979,-0.138864,-9.785102
26535146,0.948104,-0.167594,-9.813833
26536347,0.905008,-0.237026,-9.811439
26537560,0.897826,-0.198719,-9.809045
26538784,0.943315,-0.184354,-9.761160
26539999,0.943315,-0.136469,-9.727641
26541200,0.967257,-0.196325,-9.787497
26542399,0.933739,-0.205901,-9.825804
26543618,0.936133,-0.167594,-9.787497
26544850,0.945710,-0.160412,-9.727641
26546075,0.936133,-0.165200,-9.770737
26547278,0.921768,-0.196325,-9.773131
26548489,0.895431,-0.179565,-9.770737
26549706,0.900220,-0.205901,-9.809045
26550927,0.960075,-0.155623,-9.768343
26552132,0.979228,-0.210690,-9.744401
26553324,0.948104,-0.193930,-9.809045
26554532,0.931344,-0.193930,-9.835381
26555766,0.967257,-0.153229,-9.746795
26556986,1.010353,-0.193930,-9.799467
26558185,0.967257,-0.246603,-9.832987
26559384,0.957681,-0.196325,-9.854534
26560620,0.976834,-0.146046,-9.923966
26561849,0.945710,-0.184354,-9.840169
26563069,0.950498,-0.193930,-9.758766
26564265,0.926556,-0.181959,-9.777920
26565480,0.912191,-0.172383,-9.806650
26566705,0.885855,-0.138864,-9.926360
26567930,0.940921,-0.205901,-9.911995
26569134,0.924162,-0.225055,-9.897630
26570331,0.893037,-0.198719,-9.876082
26571547,0.976834,-0.196325,-9.840169
26572772,0.967257,-0.167594,-9.849746
26573988,0.940921,-0.172383,-9.900024
26575187,0.897826,-0.189142,-9.859323
26576387,0.924162,-0.203507,-9.780313
26577621,0.957681,-0.232238,-9.854534
26578859,0.943315,-0.198719,-9.935937
26580078,0.952892,-0.165200,-9.871294
26581267,0.919373,-0.205901,-9.940725
26582481,0.861913,-0.225055,-9.914390
26583706,0.924162,-0.225055,-9.907207
26584929,0.926556,-0.198719,-9.888053
26586134,0.909797,-0.186748,-9.950302
26587331,0.890643,-0.201113,-9.933543
26588546,0.943315,-0.184354,-9.861717
26589772,0.866701,-0.229843,-9.885659
26590992,0.878672,-0.237026,-9.847352
26592196,0.909797,-0.203507,-9.916783
26593399,0.940921,-0.167594,-9.897630
26594618,0.931344,-0.162806,-9.876082
26595849,0.943315,-0.158017,-9.900024
26597073,0.861913,-0.181959,-9.876082
26598278,0.890643,-0.244209,-9.907207
26599478,0.921768,-0.205901,-9.962274
26600698,0.960075,-0.222661,-9.890448
26601919,0.969652,-0.213084,-9.876082
26603124,0.945710,-0.196325,-9.866506
26604333,0.931344,-0.153229,-9.847352
26605554,0.876278,-0.150835,-9.785102
26606779,0.881066,-0.213084,-9.856929
26608003,0.928950,-0.237026,-9.809045
26609205,0.919373,-0.222661,-9.787497
26610404,0.885855,-0.217872,-9.813833
26611631,0.857124,-0.191536,-9.811439
26612869,0.852336,-0.179565,-9.758766
26614091,0.878672,-0.191536,-9.792285
26615280,0.878672,-0.198719,-9.782708
26616490,0.849942,-0.222661,-9.765948
26617712,0.916979,-0.193930,-9.852140
26618941,0.845153,-0.169988,-9.773131
26620136,0.837971,-0.153229,-9.847352
26621347,0.895431,-0.167594,-9.866506
26622567,0.933739,-0.174777,-9.842564
26623798,0.883460,-0.210690,-9.828198
26625018,0.893037,-0.172383,-9.708488
26626226,0.873884,-0.172383,-9.787497
26627426,0.943315,-0.141258,-9.744401
26628659,0.871489,-0.138864,-9.816227
26629886,0.902614,-0.155623,-9.825804
26631095,0.873884,-0.167594,-9.799467
26632290,0.955287,-0.162806,-9.765948
26633495,0.940921,-0.162806,-9.756371
26634721,0.948104,-0.158017,-9.768343
26635945,0.950498,-0.138864,-9.722853
26637137,0.943315,-0.179565,-9.806650
26638335,0.926556,-0.162806,-9.782708
26639546,0.936133,-0.136469,-9.780313
26640772,0.962469,-0.193930,-9.734824
26641992,0.907402,-0.158017,-9.789890
26643194,0.900220,-0.148441,-9.844957
26644397,0.895431,-0.105345,-9.859323
26645622,0.928950,-0.136469,-9.813833
26646855,0.907402,-0.126893,-9.832987
26648078,0.945710,-0.131681,-9.787497
26649267,0.943315,-0.126893,-9.832987
26650483,0.936133,-0.201113,-9.775525
26651707,0.962469,-0.179565,-9.777920
26652931,0.967257,-0.205901,-9.756371
26654131,0.940921,-0.181959,-9.787497
26655346,0.936133,-0.129287,-9.782708
26656561,0.981623,-0.162806,-9.852140
26657785,0.967257,-0.160412,-9.885659
26659000,0.957681,-0.131681,-9.806650
26660200,0.955287,-0.141258,-9.780313
26661399,0.964863,-0.138864,-9.797073
26662624,0.950498,-0.148441,-9.809045
26663860,0.976834,-0.158017,-9.859323
26665079,0.907402,-0.153229,-9.768343
26666268,0.921768,-0.150835,-9.861717
26667483,0.885855,-0.114922,-9.825804
26668704,0.916979,-0.162806,-9.821015
26669925,0.916979,-0.136469,-9.746795
26671126,0.931344,-0.169988,-9.672575
26672336,0.897826,-0.169988,-9.763555
26673557,0.943315,-0.146046,-9.868899
26674783,0.931344,-0.143652,-9.837775
26676014,0.964863,-0.143652,-9.789890
26677217,0.921768,-0.126893,-9.794679
26678419,0.914585,-0.138864,-9.854534
26679650,0.940921,-0.126893,-9.768343
26680877,0.876278,-0.131681,-9.777920
26682098,0.902614,-0.138864,-9.840169
26683297,0.869095,-0.146046,-9.768343
26684511,0.873884,-0.181959,-9.809045
26685737,0.869095,-0.112527,-9.730036
26686954,0.905008,-0.136469,-9.734824
26688153,0.976834,-0.158017,-9.770737
26689356,0.945710,-0.172383,-9.763555
26690577,0.897826,-0.155623,-9.840169
26691812,0.859518,-0.227449,-9.785102
26693033,0.881066,-0.177171,-9.746795
26694231,0.849942,-0.217872,-9.873688
26695437,0.828394,-0.198719,-9.885659
26696673,0.818817,-0.186748,-9.837775
26697911,0.794875,-0.186748,-9.785102
26699118,0.840365,-0.198719,-9.813833
26700317,0.814029,-0.141258,-9.876082
26701531,0.895431,-0.196325,-9.789890
26702762,0.866701,-0.189142,-9.823410
26703980,0.869095,-0.179565,-9.835381
26705189,0.876278,-0.158017,-9.895236
26706388,0.873884,-0.177171,-9.864111
26707614,0.835576,-0.165200,-9.770737
26708850,0.842759,-0.158017,-9.885659
26710066,0.849942,-0.158017,-9.878476
26711265,0.895431,-0.189142,-9.907207
26712470,0.940921,-0.217872,-9.923966
26713700,0.928950,-0.201113,-9.885659
26714920,0.845153,-0.239420,-9.732430
26716127,0.897826,-0.220267,-9.854534
26717331,0.890643,-0.244209,-9.885659
26718546,0.950498,-0.237026,-9.840169
26719760,0.883460,-0.208296,-9.866506
26720975,0.866701,-0.198719,-9.904813
26722184,0.912191,-0.208296,-9.926360
26723387,0.905008,-0.203507,-9.938332
26724616,0.871489,-0.227449,-9.986216
26725839,0.967257,-0.193930,-9.998186
26727059,0.948104,-0.205901,-9.911995
26728257,0.926556,-0.184354,-9.830592
26729456,0.883460,-0.193930,-9.797073
26730675,0.948104,-0.203507,-9.809045
26731910,0.900220,-0.160412,-9.868899
26733117,0.864307,-0.124498,-9.823410
26734316,0.885855,-0.141258,-9.818622
26735527,0.962469,-0.153229,-9.878476
26736758,0.931344,-0.244209,-9.888053
26737976,0.902614,-0.258574,-9.830592
26739186,0.909797,-0.222661,-9.813833
26740389,0.936133,-0.232238,-9.782708
26741620,0.909797,-0.217872,-9.753978
26742852,0.916979,-0.244209,-9.749189
26744067,0.895431,-0.217872,-9.763555
26745272,0.909797,-0.215478,-9.809045
26746476,0.905008,-0.203507,-9.832987
26747694,0.857124,-0.246603,-9.873688
26748912,0.926556,-0.244209,-9.816227
26750122,0.931344,-0.222661,-9.773131
26751322,0.902614,-0.232238,-9.758766
26752536,0.931344,-0.205901,-9.809045
26753765,0.964863,-0.196325,-9.684546
26754981,0.955287,-0.258574,-9.715671
26756178,0.919373,-0.220267,-9.742006
26757386,0.905008,-0.153229,-9.761160
26758611,0.840365,-0.193930,-9.749189
26759836,0.835576,-0.172383,-9.816227
26761057,0.835576,-0.172383,-9.749189
26762261,0.804452,-0.162806,-9.734824
26763457,0.895431,-0.203507,-9.706094
26764680,0.938527,-0.189142,-9.782708
26765911,0.881066,-0.256180,-9.708488
26767119,0.847547,-0.260968,-9.804255
26768318,0.826000,-0.229843,-9.773131
26769532,0.852336,-0.227449,-9.739613
26770764,0.852336,-0.260968,-9.761160
26771974,0.809240,-0.265756,-9.801862
26773183,0.818817,-0.205901,-9.768343
26774391,0.806846,-0.186748,-9.801862
26775606,0.857124,-0.196325,-9.732430
26776828,0.912191,-0.237026,-9.792285
26778059,0.931344,-0.208296,-9.770737
26779262,0.885855,-0.244209,-9.854534
26780470,0.919373,-0.263362,-9.840169
26781700,0.924162,-0.210690,-9.734824
26782917,0.940921,-0.181959,-9.722853
26784121,0.890643,-0.220267,-9.761160
26785319,0.900220,-0.258574,-9.797073
26786533,0.888249,-0.205901,-9.835381
26787763,0.890643,-0.203507,-9.907207
26788976,0.785298,-0.193930,-9.835381
