time_us,x,y,z
2175036444,-1.340753,0.189142,-10.577583
2175037646,-1.266533,0.169988,-10.761936
2175038865,-1.225831,0.186748,-10.733206
2175040093,-1.223437,0.385466,-10.498574
2175041312,-1.139640,0.414197,-10.441113
2175042518,-1.161188,0.505177,-10.359711
2175043725,-1.218649,0.562637,-10.369287
2175044948,-1.156399,0.531513,-10.556035
2175046189,-1.192312,0.380678,-10.718841
2175047412,-1.113304,0.416591,-10.972627
2175048619,-1.168370,0.500388,-10.929531
2175049835,-1.297657,0.509965,-10.702082
2175051057,-1.206678,0.366313,-10.888829
2175052289,-1.228225,0.368707,-10.630256
2175053498,-1.204283,0.335188,-10.682928
2175054702,-1.223437,0.296881,-10.805033
2175055932,-1.285686,0.246603,-10.773908
2175057160,-1.314417,0.237026,-10.488997
2175058377,-1.381454,0.234632,-10.575189
2175059585,-1.362301,0.208296,-10.460267
2175060797,-1.276109,0.110133,-10.302250
2175062035,-1.216254,0.028730,-10.307038
2175063250,-1.240196,0.007183,-10.244789
2175064458,-1.424550,0.098162,-10.041282
2175065669,-1.422156,0.062249,-10.125079
2175066896,-1.438915,0.000000,-10.254366
2175068122,-1.419762,0.062249,-9.871294
2175069349,-1.455675,-0.062249,-9.825804
2175070561,-1.484405,-0.059855,-10.026917
2175071789,-1.508347,0.033519,-9.964667
2175073017,-1.572991,0.124498,-9.883265
2175074239,-1.422156,0.011971,-9.890448
2175075445,-1.391031,-0.057461,-9.727641
2175076662,-1.345541,0.014365,-9.555259
2175077883,-1.276109,0.107739,-9.466674
2175079105,-1.410185,0.107739,-9.797073
2175080327,-1.426944,0.129287,-9.957485
2175081528,-1.448492,0.165200,-10.177752
2175082734,-1.496376,0.141258,-10.232818
2175083963,-1.467646,0.114922,-10.273520
2175085189,-1.441309,0.306458,-10.398018
2175086410,-1.441309,0.260968,-10.333375
2175087606,-1.400608,0.160412,-10.311827
2175088817,-1.261744,0.110133,-10.374076
2175090044,-1.134852,0.136469,-10.280702
2175091270,-1.235408,0.074220,-9.806650
2175092462,-1.209072,0.014365,-9.825804
2175093661,-1.161188,0.129287,-9.835381
2175094873,-1.247379,0.198719,-9.897630
2175096101,-1.328782,0.095768,-10.141838
